parameter,cf_name
NO,mass_concentration_of_nitrogen_monoxide_in_air
NO2,mass_concentration_of_nitrogen_dioxide_in_air
NOx,mass_concentration_of_nox_expressed_as_nitrogen_in_air
NOy,mass_concentration_of_noy_expressed_as_nitrogen_in_air
Ozone,mass_concentration_of_ozone_in_air
CO,mass_concentration_of_carbon_monoxide_in_air
SO2,mass_concentration_of_sulfur_dioxide_in_air
HNO3,mass_concentration_of_nitric_acid_in_air
PM2.5,mass_concentration_of_pm2p5_ambient_aerosol_particles_in_air
PM10,mass_concentration_of_pm10_ambient_aerosol_particles_in_air
PM coarse,mass_concentration_of_coarse_mode_ambient_aerosol_particles_in_air
Ultrafine PM,
Concentration,number_concentration_of_ambient_aerosol_particles_in_air
Wood smoke,mass_concentration_of_biomass_burning_dry_aerosol_particles_in_air
backscatter,volume_backwards_scattering_coefficient_in_air_due_to_dried_aerosol_particles
T,surface_temperature
RH,relative_humidity
BP,surface_air_pressure
SLP,air_pressure_at_mean_sea_level
Precipitation,lwe_thickness_of_precipitation_amount
wind speed,wind_speed
max wind speed,wind_speed_of_gust
wind direction,wind_from_direction
SR,solar_irradiance
