time,site,data_source,measurement_name,certified_value,measured_value,changed
2011-10-27,WFMS,campbell,NO,4.09,,
2011-11-22,WFMS,campbell,NO,4.09,,
2012-04-03,WFMS,campbell,NO,4,,TRUE
2012-06-15,WFMS,campbell,NO,4,,
2013-06-26,WFMS,campbell,NO,4,4.6,
2014-01-16,WFMS,campbell,NO,4,4.02,
2015-05-11,WFMS,campbell,NO,4,3.64,
2016-06-17,WFMS,campbell,NO,4,4.27,
2016-07-14,WFMS,campbell,NO,4,3.94,
2017-01-20,WFMS,campbell,NO,4,3.87,
2017-10-02,WFMS,campbell,NO,4,3.9,
2018-04-04,WFMS,campbell,NO,4,3.79,
2019-03-14,WFMS,campbell,NO,4,3.84,
2019-08-06,WFMS,campbell,NO,4,3.99,
2019-08-19,WFMS,campbell,NO,4,4.04,
2011-10-27,WFMS,campbell,NOx,11.1,,
2012-06-15,WFMS,campbell,NOx,13.3,,
2013-06-26,WFMS,campbell,NOx,,12.8,
2014-01-16,WFMS,campbell,NOx,,11.2,
2015-05-11,WFMS,campbell,NOx,,11.57,
2016-06-17,WFMS,campbell,NOx,,11.29,
2016-07-14,WFMS,campbell,NOx,,11.1,
2016-11-03,WFMS,campbell,NOx,9.66,9.78,TRUE
2017-01-20,WFMS,campbell,NOx,9.66,9.66,
2017-10-02,WFMS,campbell,NOx,9.66,9.71,
2018-04-04,WFMS,campbell,NOx,9.66,9.73,
2019-03-14,WFMS,campbell,NOx,9.66,9.81,
2019-08-06,WFMS,campbell,NOx,9.78,9.89,TRUE
2019-08-19,WFMS,campbell,NOx,9.72,9.86,TRUE
2011-10-27,WFMS,campbell,CO,500,,
2011-11-22,WFMS,campbell,CO,451,,TRUE
2012-04-03,WFMS,campbell,CO,451,,
2013-06-26,WFMS,campbell,CO,451,387,
2014-01-16,WFMS,campbell,CO,451,389,
2015-05-11,WFMS,campbell,CO,451,391,
2016-06-17,WFMS,campbell,CO,451,363,
2017-01-20,WFMS,campbell,CO,451,352,
2017-02-28,WFMS,campbell,CO,452,468,TRUE
2017-03-29,WFMS,campbell,CO,452,445,
2017-10-02,WFMS,campbell,CO,452,434,
2018-04-04,WFMS,campbell,CO,452,435,
2019-03-14,WFMS,campbell,CO,452,438,
2019-08-06,WFMS,campbell,CO,452,445,
2019-08-19,WFMS,campbell,CO,453,440,TRUE
2011-10-27,WFMS,campbell,SO2,4.9,,
2011-11-22,WFMS,campbell,SO2,4.9,,
2012-04-03,WFMS,campbell,SO2,4.9,,
2013-06-26,WFMS,campbell,SO2,4.9,5.9,
2014-01-16,WFMS,campbell,SO2,4.9,4.58,
2014-04-02,WFMS,campbell,SO2,5.9,5.93,TRUE
2015-05-11,WFMS,campbell,SO2,5.9,5.98,
2016-06-17,WFMS,campbell,SO2,5.9,5.98,
2017-01-20,WFMS,campbell,SO2,5.9,6,
2017-10-02,WFMS,campbell,SO2,5.9,5.94,
2018-04-04,WFMS,campbell,SO2,5.9,6.01,
2019-03-14,WFMS,campbell,SO2,5.9,6.04,
2019-08-06,WFMS,campbell,SO2,5.9,6.11,
2019-08-19,WFMS,campbell,SO2,5.9,6.08,
