site,data_source,measurement,times,instrument
PSP,envidas,NO,"[2018-10-01, 2019-10-01)",Thermo_42C-TL
PSP,envidas,NO-DEC,"[2018-10-01, 2019-10-01)",DEC_Thermo_42i_2
PSP,envidas,NOx,"[2018-10-01, 2019-10-01)",Thermo_42C-TL
PSP,envidas,NO2,"[2018-10-01, 2019-10-01)",Thermo_42C-TL
PSP,envidas,NOy,"[2018-10-01, 2019-10-01)",Thermo_42i-TL
PSP,envidas,NOy-DEC,"[2018-10-01, 2019-10-01)",DEC_Thermo_42i_2
PSP,envidas,NOy-HNO3,"[2018-10-01, 2019-10-01)",Thermo_42i-TL
PSP,envidas,HNO3,"[2018-10-01, 2019-10-01)",Thermo_42i-TL
PSP,envidas,Thermo_O3,"[2018-10-01, 2019-10-01)",Thermo_49i_2
PSP,envidas,CO,"[2018-10-01, 2019-10-01)",Teledyne_300EU_2
PSP,envidas,SO2,"[2018-10-01, 2019-10-01)",Thermo_43i
PSP,envidas,PM_2_5,"[2019-01-02, 2019-10-01)",DEC_Teledyne_T640
PSP,envidas,PM_10calc,"[2019-01-02, 2019-10-01)",DEC_Teledyne_T640
PSP,envidas,Concentration,"[2018-10-01, 2019-01-18)",Teledyne_M651
PSP,envidas,Concentration,"[2019-01-25, 2019-10-01)",TSI_EPC3783
WFMS,campbell,CO,"[2018-10-01, 2019-10-01)",Teledyne_300EU
WFMS,campbell,SO2,"[2018-10-01, 2019-10-01)",Thermo_43C-TL
WFMS,campbell,NO,"[2018-10-01, 2019-10-01)",Thermo_42C-TL
WFMS,campbell,NOx,"[2018-10-01, 2019-10-01)",Thermo_42C-TL
WFMS,campbell,NO2,"[2018-10-01, 2019-10-01)",Thermo_42C-TL
WFMS,campbell,NOy,"[2018-10-01, 2019-10-01)",Thermo_42C-TL_2
WFMS,campbell,concentration_370,"[2018-10-01, 2019-10-01)",Magee_AE22-HS
WFMS,campbell,concentration_880,"[2018-10-01, 2019-10-01)",Magee_AE22-HS
WFMS,campbell,Wood smoke,"[2018-10-01, 2019-10-01)",Magee_AE22-HS
WFMS,campbell,Concentration,"[2018-10-01, 2019-10-01)",TSI_EPC3783
